id,idCliente,celularCliente
1001,1496,2433051788
1002,1687,8424948216
1003,1019,3296826126
1004,1230,7189023017
1005,1688,8737355940
1006,1574,7746000649
1007,1804,2912464452
1008,1621,9883935068
1009,1511,2643909382
1010,1333,5945160507
1011,1057,1813559741
1012,1990,3907432823
1013,1552,2148660337
1014,1918,1461762578
1015,1158,3771513580
1016,1881,3952839740
1017,1723,9491414262
1018,1239,6841911019
1019,1024,6413242402
1020,1247,5369556741
1021,1571,2503782357
1022,1119,9761781273
1023,1181,1792079466
1024,1908,9031857214
1025,1558,1685803662
1026,1381,7704364331
1027,1679,2589467901
1028,1178,6059167940
1029,1951,9392210745
1030,1846,7863760619
1031,1406,3916306289
1032,1816,7476920142
1033,1736,8449288951
1034,1463,1507204285
1035,1466,1054376161
1036,1197,2349974916
1037,1934,4844120805
1038,1548,3007144751
1039,1269,8035903779
1040,1561,5655323914
1041,1016,7356380255
1042,1936,9332808241
1043,1752,9975475128
1044,1984,7034363536
1045,1845,9224698191
1046,1403,8687135171
1047,1851,1931098624
1048,1142,8248690492
1049,1594,8453396458
1050,1095,7389039767
1051,1010,2552924521
1052,1022,1831265478
1053,1872,8457134760
1054,1358,5769570886
1055,1032,4467521175
1056,1052,4587327086
1057,1840,5589866953
1058,1428,7241179789
1059,1890,9075946231
1060,1701,1278818788
1061,1335,9848656907
1062,1416,9525036438
1063,1945,6296237430
1064,1161,8901695256
1065,1009,1893061580
1066,1801,1827388122
1067,1031,4942255182
1068,1190,6941173022
1069,1361,9529068770
1070,1023,5602340112
1071,1090,7457965303
1072,1557,1854887455
1073,1152,9554860625
1074,1339,6528495992
1075,1832,8446859648
1076,1822,3419743408
1077,1346,5101904088
1078,1717,2067454845
1079,1904,6589881541
1080,1944,3944212490
1081,1430,4421092809
1082,1255,5789880332
1083,1003,7904422959
1084,1389,9565173405
1085,1220,2554117439
1086,1422,2085574109
1087,1991,2957525361
1088,1523,5797596084
1089,1187,1373458994
1090,1776,1697064513
1091,1559,4731962195
1092,1800,6587980450
1093,1066,4988038177
1094,1632,8682542884
1095,1864,6672568381
1096,1252,4339166072
1097,1308,2885860171
1098,1691,7955076640
1099,1194,9681085224
1100,1340,2985126333
1101,1634,6583669322
1102,1884,7508422578
1103,1886,3966237996
1104,1248,2936056338
1105,1588,4386804204
1106,1919,3005566093
1107,1949,6726551184
1108,1084,1823678294
1109,1930,2841037677
1110,1630,4385679099
1111,1075,4013532089
1112,1529,9013890577
1113,1556,9395819710
1114,1699,1563231597
1115,1714,4775374067
1116,1927,8215279004
1117,1789,3574435011
1118,1222,4633072189
1119,1062,3872363038
1120,1532,5243699277
1121,1477,8369029696
1122,1770,8899242248
1123,1429,8261699761
1124,1580,8788171553
1125,1635,1906106858
1126,1499,9804924584
1127,1694,3973219393
1128,1135,2233849378
1129,1916,3132192599
1130,1734,7146109836
1131,1672,3594052435
1132,1612,3509987272
1133,1446,3903833889
1134,1182,2026913525
1135,1076,1055597807
1136,1265,8084709652
1137,1211,5936790929
1138,1468,6378205126
1139,1554,7149579306
1140,1386,2524047041
1141,1589,8777225766
1142,1122,9405755713
1143,1046,7192356112
1144,1130,2721144517
1145,1291,9553038858
1146,1854,8219144149
1147,1704,2814589093
1148,1444,7148272398
1149,1397,6836199165
1150,1482,5459926014
1151,1541,2351576504
1152,1818,4391678582
1153,1144,8154860505
1154,1423,8903463226
1155,1748,7852292379
1156,1398,8798192779
1157,1439,5192441019
1158,1195,2803429702
1159,1932,3331365726
1160,1360,5311077478
1161,1850,5669501553
1162,1147,5368870087
1163,1060,7728281150
1164,1641,6368670311
1165,1586,8865023103
1166,1292,1621150114
1167,1028,1494591321
1168,1457,3272806051
1169,1039,4133859402
1170,1981,8912170196
1171,1684,7199666768
1172,1968,9592022164
1173,1053,4615189529
1174,1581,1808625155
1175,1083,3629506574
1176,1627,3677193191
1177,1202,6135210558
1178,1791,3753003361
1179,1131,4251954792
1180,1305,7857487045
1181,1863,4229826609
1182,1163,1658257085
1183,1020,1921661222
1184,1985,1811690235
1185,1175,2597689017
1186,1233,7036489119
1187,1491,7249720258
1188,1536,2761774059
1189,1829,4471486436
1190,1365,4086797081
1191,1645,1494188330
1192,1741,1549261328
1193,1375,4275551503
1194,1296,8868285465
1195,1880,2243937462
1196,1743,5383416644
1197,1212,8282933041
1198,1892,1245587667
1199,1972,3126464133
1200,1921,9331381201
1201,1545,3883995532
1202,1707,7321971072
1203,1617,3002714654
1204,1681,5158309512
1205,1479,5612714471
1206,1969,7341118566
1207,1852,5254065897
1208,1185,7693425157
1209,1810,1532764889
1210,1100,5618295522
1211,1939,1708590635
1212,1224,2097446411
1213,1014,3144104466
1214,1869,1571720394
1215,1753,9058549502
1216,1121,6703765476
1217,1668,6056898958
1218,1148,3843170274
1219,1385,7209002581
1220,1079,6796627461
1221,1069,4912662934
1222,1033,3971823698
1223,1199,6112891694
1224,1188,4694502295
1225,1458,1941073075
1226,1071,4503464082
1227,1401,6179000811
1228,1322,2768884083
1229,1492,3501771147
1230,1841,8435546738
1231,1374,1401825271
1232,1778,1534435917
1233,1272,5182981800
1234,1097,6976346132
1235,1464,8043548985
1236,1793,9556327765
1237,1209,6067060241
1238,1520,1919265122
1239,1808,9399990905
1240,1650,8414472354
1241,1911,3366325570
1242,1955,5127488465
1243,1173,7735101412
1244,1260,5079036422
1245,1970,5482232194
1246,1724,9886993350
1247,1276,5987352176
1248,1539,2006417219
1249,1162,3842495204
1250,1370,6902175297
1251,1420,6191048062
1252,1914,5241522701
1253,1264,5277706424
1254,1686,6043991120
1255,1759,5236254567
1256,1235,1238601941
1257,1566,6607298590
1258,1478,1549180550
1259,1257,4845641067
1260,1957,5338255039
1261,1887,3634411560
1262,1583,6256621199
1263,1555,9665109606
1264,1643,4409562033
1265,1943,1332208696
1266,1519,9981345713
1267,1903,9645067496
1268,1649,4438388752
1269,1352,1291784804
1270,1865,6706741718
1271,1655,9509193194
1272,1642,8242397548
1273,1123,5935512248
1274,1891,3494929021
1275,1327,6364823281
1276,1813,7124880299
1277,1186,2773508847
1278,1986,4481110786
1279,1297,9872196047
1280,1596,3958046363
1281,1164,7859528037
1282,1700,9521727614
1283,1849,2303723889
1284,1750,4464621541
1285,1987,6247610588
1286,1070,8846729427
1287,1606,7406724505
1288,1624,7546689913
1289,1218,8624237972
1290,1270,8568053551
1291,1767,4591869798
1292,1261,7261705324
1293,1005,5088816591
1294,1922,1851179087
1295,1619,2738326646
1296,1678,2183655037
1297,1512,9477931569
1298,1357,9147887003
1299,1732,8426082841
1300,1611,3783532729
1301,1501,1455513086
1302,1625,3372852691
1303,1409,3242812270
1304,1765,7844787954
1305,1644,4488160848
1306,1245,1048671075
1307,1278,6498013399
1308,2000,6789491879
1309,1546,3206869027
1310,1666,4154191812
1311,1407,3093389826
1312,1150,2113197139
1313,1096,4379833474
1314,1093,5688391906
1315,1183,1879894034
1316,1834,4012513074
1317,1673,4005390755
1318,1268,5893870147
1319,1530,9371678040
1320,1107,5584958661
1321,1295,6554126461
1322,1294,6702247937
1323,1467,8153718371
1324,1113,4821269746
1325,1180,3362056359
1326,1172,9723207661
1327,1715,8757105598
1328,1273,9957006561
1329,1647,7653840664
1330,1390,5334796962
1331,1330,8561810869
1332,1805,9953254306
1333,1443,7309644687
1334,1963,1362141792
1335,1960,9196585475
1336,1877,1803015863
1337,1667,8057403027
1338,1746,1315639196
1339,1021,3575835295
1340,1408,2397770766
1341,1856,7603477800
1342,1067,1076354570
1343,1485,2515824612
1344,1216,9941146006
1345,1692,6575776283
1346,1214,6356402447
1347,1708,5457729876
1348,1229,1777797191
1349,1737,6566266698
1350,1525,4192437974
1351,1966,2257770876
1352,1012,3052282047
1353,1806,2164111194
1354,1569,9933429839
1355,1875,9354751885
1356,1262,5364966410
1357,1111,6662857830
1358,1858,1123525630
1359,1058,9742065183
1360,1377,7197557530
1361,1371,3212837952
1362,1597,1735400324
1363,1314,4026704324
1364,1946,8499180041
1365,1527,3954252104
1366,1151,2236901128
1367,1454,2225980040
1368,1844,8086299528
1369,1048,5704599295
1370,1551,3392083289
1371,1189,9008202030
1372,1760,1951903313
1373,1476,8622213763
1374,1281,8823543670
1375,1435,6596509138
1376,1878,3904803411
1377,1889,8121790016
1378,1382,8261579086
1379,1794,8777234865
1380,1563,2209159778
1381,1980,9658665179
1382,1068,2163309201
1383,1490,9623404969
1384,1309,1587639666
1385,1368,4726005763
1386,1742,9022336444
1387,1979,5509373236
1388,1952,5496352762
1389,1132,9853504022
1390,1447,8686895807
1391,1702,5629101306
1392,1982,7479859847
1393,1425,9226347110
1394,1814,3158586625
1395,1487,7383663244
1396,1585,3537640918
1397,1730,9302754208
1398,1208,2181913300
1399,1861,6517595637
1400,1488,2098996198
1401,1412,5353179361
1402,1395,2552468353
1403,1119,4643771477
1404,1562,2304339252
1405,1073,6788202711
1406,1881,2169016710
1407,1065,5445165451
1408,1507,1411216566
1409,1770,6293260423
