id,idCliente,direccionCliente
1001,1325,"Calle: E, Numero: 5, Ciudad: W"
1002,1082,"Calle: X, Numero: 390, Ciudad: r"
1003,1854,"Calle: G, Numero: 67, Ciudad: L"
1004,1169,"Calle: r, Numero: 116, Ciudad: S"
1005,1679,"Calle: M, Numero: 7, Ciudad: h"
1006,1074,"Calle: G, Numero: 50, Ciudad: c"
1007,1993,"Calle: t, Numero: 966, Ciudad: n"
1008,1724,"Calle: h, Numero: 971, Ciudad: e"
1009,1711,"Calle: U, Numero: 5, Ciudad: C"
1010,1203,"Calle: x, Numero: 138, Ciudad: y"
1011,1081,"Calle: r, Numero: 75, Ciudad: x"
1012,1131,"Calle: r, Numero: 6, Ciudad: f"
1013,1437,"Calle: f, Numero: 130, Ciudad: R"
1014,1359,"Calle: U, Numero: 376, Ciudad: V"
1015,1814,"Calle: q, Numero: 994, Ciudad: L"
1016,1289,"Calle: W, Numero: 34, Ciudad: f"
1017,1469,"Calle: O, Numero: 0, Ciudad: g"
1018,1157,"Calle: M, Numero: 89, Ciudad: Z"
1019,1465,"Calle: i, Numero: 90, Ciudad: a"
1020,1813,"Calle: I, Numero: 16, Ciudad: O"
1021,1032,"Calle: k, Numero: 348, Ciudad: e"
1022,1318,"Calle: v, Numero: 4, Ciudad: A"
1023,1199,"Calle: Y, Numero: 598, Ciudad: Z"
1024,1413,"Calle: l, Numero: 6, Ciudad: R"
1025,1290,"Calle: g, Numero: 537, Ciudad: o"
1026,1846,"Calle: j, Numero: 7, Ciudad: u"
1027,1102,"Calle: m, Numero: 181, Ciudad: C"
1028,1738,"Calle: J, Numero: 38, Ciudad: F"
1029,1311,"Calle: g, Numero: 2, Ciudad: Y"
1030,1815,"Calle: G, Numero: 20, Ciudad: g"
1031,1106,"Calle: b, Numero: 3, Ciudad: z"
1032,1514,"Calle: L, Numero: 961, Ciudad: H"
1033,1454,"Calle: J, Numero: 9, Ciudad: M"
1034,1072,"Calle: n, Numero: 36, Ciudad: N"
1035,1251,"Calle: p, Numero: 53, Ciudad: H"
1036,1098,"Calle: c, Numero: 3, Ciudad: K"
1037,1065,"Calle: r, Numero: 464, Ciudad: Y"
1038,1464,"Calle: r, Numero: 82, Ciudad: Q"
1039,1254,"Calle: k, Numero: 80, Ciudad: Y"
1040,1298,"Calle: T, Numero: 2, Ciudad: f"
1041,1897,"Calle: z, Numero: 74, Ciudad: g"
1042,1580,"Calle: u, Numero: 773, Ciudad: G"
1043,1302,"Calle: Z, Numero: 2, Ciudad: I"
1044,1051,"Calle: s, Numero: 46, Ciudad: B"
1045,1173,"Calle: k, Numero: 211, Ciudad: Z"
1046,1432,"Calle: a, Numero: 39, Ciudad: F"
1047,1405,"Calle: E, Numero: 47, Ciudad: e"
1048,1259,"Calle: Q, Numero: 7, Ciudad: o"
