id,fecha,fechaEntrega,estado,nombreDomiciliario,idDomiciliario,costo
1001,12/19/2023,1/2/2024,E,Ofilia,861,16321
1002,1/18/2024,4/21/2023,E,Royce,4,9723
1003,6/10/2023,9/9/2023,E,Sherwin,654,24646
1004,11/2/2023,2/1/2024,E,Albert,43,19915
1005,8/14/2023,12/25/2023,C,Milicent,857,26792
1006,7/11/2023,12/1/2023,R,Bary,652,34904
1007,5/1/2023,5/15/2023,C,Shirl,431,28297
1008,11/13/2023,2/6/2024,R,Wallache,467,12463
1009,8/20/2023,5/1/2023,R,Lin,422,47859
1010,3/18/2024,5/2/2023,R,Kim,646,27626
1011,12/27/2023,12/1/2023,R,Carmon,951,43431
1012,10/15/2023,10/30/2023,C,Vidovic,865,654
1013,1/11/2024,8/13/2023,E,Berky,245,45819
1014,6/22/2023,5/1/2023,E,Burlie,956,20799
1015,3/27/2024,3/6/2024,P,Terese,649,46008
1016,5/21/2023,6/2/2023,E,Micheal,921,47652
1017,3/14/2024,9/24/2023,R,Cassandra,208,37920
1018,12/1/2023,6/9/2023,P,Mira,160,14931
1019,6/30/2023,7/9/2023,P,Nerta,24,3423
1020,11/26/2023,3/12/2024,C,Cullan,339,3546
1021,7/24/2023,6/11/2023,P,Edwina,789,26548
1022,7/5/2023,10/9/2023,P,Vittoria,375,1070
1023,9/6/2023,4/18/2023,P,Andriana,596,4757
1024,2/3/2024,10/26/2023,E,Addie,247,40963
1025,4/10/2024,9/24/2023,P,Gwenni,366,40604
1026,2/8/2024,7/22/2023,C,Gabriele,234,8330
1027,11/18/2023,3/25/2024,P,Bunni,65,32263
1028,9/23/2023,6/1/2023,C,Gwynne,812,33912
1029,2/9/2024,11/15/2023,C,Wynnie,546,35521
1030,6/9/2023,3/15/2024,R,Ania,266,10111
1031,3/12/2024,8/11/2023,E,Tansy,157,18165
1032,4/15/2023,4/19/2023,C,Christie,513,32659
1033,4/2/2024,1/1/2024,R,Putnem,699,16842
1034,7/9/2023,8/25/2023,R,Florence,10,24497
1035,1/21/2024,3/12/2024,E,Terrijo,634,6038
1036,10/30/2023,6/17/2023,C,Karlyn,135,30366
1037,9/21/2023,11/5/2023,E,Patsy,232,41339
1038,11/15/2023,3/31/2024,C,Gardy,880,29481
1039,7/11/2023,5/22/2023,C,Stuart,118,43623
1040,6/6/2023,4/30/2023,P,Gene,669,41337
1041,8/6/2023,1/21/2024,P,Johann,923,38765
1042,1/18/2024,3/26/2024,E,Sal,379,2679
1043,7/25/2023,8/7/2023,C,Chan,297,17481
